,id_x,provinsi_x,lat_x,long_x,id_y,provinsi_y,lat_y,long_y,jarak
59,12,SUMATERA UTARA,2.12579,99.37188,63,KALIMANTAN SELATAN,-3.01574,115.27913,1858.2907256661722
60,12,SUMATERA UTARA,2.12579,99.37188,64,KALIMANTAN TIMUR,0.48299,116.47902,1910.4212541750792
61,12,SUMATERA UTARA,2.12579,99.37188,65,KALIMANTAN UTARA,3.08549,116.04875,1855.504407311574
62,12,SUMATERA UTARA,2.12579,99.37188,71,SULAWESI UTARA,0.63092,124.01862,2744.750528654959
63,12,SUMATERA UTARA,2.12579,99.37188,72,SULAWESI TENGAH,-1.39519,121.45617,2486.2464080550467
64,12,SUMATERA UTARA,2.12579,99.37188,73,SULAWESI SELATAN,-3.67159,119.83888,2364.2289321017083
65,12,SUMATERA UTARA,2.12579,99.37188,74,SULAWESI TENGGARA,-4.06342,122.29421,2638.569495505255
66,12,SUMATERA UTARA,2.12579,99.37188,75,GORONTALO,0.70103,122.48148,2573.6953969924507
67,12,SUMATERA UTARA,2.12579,99.37188,76,SULAWESI BARAT,-2.85719,119.04715,2256.153051815265
68,12,SUMATERA UTARA,2.12579,99.37188,81,MALUKU,-3.26327,130.06423,3463.6315254952115
69,12,SUMATERA UTARA,2.12579,99.37188,82,MALUKU UTARA,1.61056,127.75427,3154.779063814853
70,12,SUMATERA UTARA,2.12579,99.37188,91,PAPUA,-4.21805,138.17283,4368.82742175438
71,12,SUMATERA UTARA,2.12579,99.37188,92,PAPUA BARAT,-1.36991,133.08497,3768.162820528973
72,12,SUMATERA UTARA,2.12579,99.37188,92,PAPUA BARAT DAYA,-0.83268,131.377645,3573.4278058930654
73,12,SUMATERA UTARA,2.12579,99.37188,93,PAPUA SELATAN,-8.17248,140.52879,4704.999836830149
74,12,SUMATERA UTARA,2.12579,99.37188,94,PAPUA TENGAH,-3.36523,135.48951,4060.480059054149
75,12,SUMATERA UTARA,2.12579,99.37188,95,PAPUA PEGUNUNGAN,-4.07131,139.39152,4500.199518058314
76,13,SUMATERA BARAT,-0.75286,100.61145,11,ACEH,4.72669,96.77379,743.6294093985093
